# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 3.8549e-11 -6.7440e+83 1.9673e+04 7.3102e+00
1.9931e+04 8.5506e-11 -2.1326e+84 1.9673e+04 7.3102e+00
6.3027e+04 1.9092e-10 -6.7440e+84 1.9673e+04 7.3102e+00
1.9931e+05 4.2348e-10 -2.1326e+85 1.9673e+04 7.3102e+00
6.3027e+05 9.4462e-10 -6.7440e+85 1.9673e+04 7.3102e+00
1.9931e+06 2.1087e-09 -2.1326e+86 1.9673e+04 7.3102e+00
6.3027e+06 4.6519e-09 -6.7440e+86 1.9673e+04 7.3102e+00
1.9931e+07 1.0282e-08 -2.1326e+87 1.9673e+04 7.3102e+00
6.3027e+07 2.2632e-08 -6.7440e+87 1.9673e+04 7.3102e+00
1.9931e+08 4.9983e-08 -2.1326e+88 1.9673e+04 7.3102e+00
6.3027e+08 1.0931e-07 -6.7440e+88 1.9673e+04 7.3102e+00
1.9931e+09 2.4201e-07 -2.1326e+89 1.9673e+04 7.3101e+00
6.3027e+09 5.3340e-07 -6.7440e+89 1.9673e+04 7.3101e+00
1.9931e+10 1.1893e-06 -2.1326e+90 1.9673e+04 7.3101e+00
6.3027e+10 2.3604e-06 -6.7440e+90 1.9509e+04 7.3101e+00
1.9931e+11 4.9461e-06 -2.1326e+91 1.9551e+04 7.3099e+00
6.3027e+11 1.0834e-05 -6.7440e+91 1.9548e+04 7.3097e+00
